County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Crawford, Georgia,"9,728","2,853",133,73,18
Crisp, Georgia,"12,961","10,563",126,272,22
Dade, Georgia,"16,049",285,191,184,20
Dawson, Georgia,"21,937",329,230,211,20
Decatur, Georgia,"15,626","11,556",318,225,39
De Kalb, Georgia,"274,496","394,526","9,075","43,486","1,203"
Dodge, Georgia,"14,727","6,533",142,139,36
Dooly, Georgia,"7,136","7,086",71,127,16
Dougherty, Georgia,"29,067","64,383",656,"1,132",223
Douglas, Georgia,"75,170","57,300","1,482","2,882",353
Early, Georgia,"5,312","5,220",77,65,7
Echols, Georgia,"3,655",237,159,28,9
Effingham, Georgia,"45,203","7,807",559,692,78
Elbert, Georgia,"13,588","5,909",110,199,17
Emanuel, Georgia,"14,781","7,897",154,213,18
Evans, Georgia,"7,239","3,295",105,135,40
Fannin, Georgia,"23,133",213,247,135,13
Fayette, Georgia,"79,532","23,615","1,094","5,291",234
Floyd, Georgia,"79,330","15,165","1,296","1,584",291
Forsyth, Georgia,"166,603","6,933","1,706","15,351",242
Franklin, Georgia,"19,654","2,155",185,209,23
Fulton, Georgia,"473,794","447,489","9,154","66,531","1,344"
Gilmer, Georgia,"27,545",313,369,152,158
Glascock, Georgia,"2,834",300,21,12,1
Glynn, Georgia,"57,605","22,260",825,"1,492",229
Gordon, Georgia,"52,105","2,817",577,734,255
Grady, Georgia,"17,470","7,479",455,196,72
Greene, Georgia,"10,035","6,057",143,93,25
Gwinnett, Georgia,"519,671","227,970","12,975","100,443","1,847"
Habersham, Georgia,"39,983","2,032",716,"1,212",148
Hall, Georgia,"164,417","15,927","2,745","4,255",483
Hancock, Georgia,"2,298","6,638",57,67,2
Haralson, Georgia,"26,749","1,536",252,224,24
Harris, Georgia,"26,487","5,827",304,458,50
Hart, Georgia,"20,436","5,026",143,299,18
Heard, Georgia,"10,286","1,336",122,96,11
Henry, Georgia,"119,302","83,820","2,021","8,087",409
Houston, Georgia,"97,770","45,035","1,686","5,348",482
Irwin, Georgia,"6,869","2,714",29,86,4
Jackson, Georgia,"54,857","4,769",536,"1,269",89
Jasper, Georgia,"10,448","3,164",137,77,13
Jeff Davis, Georgia,"12,608","2,410",146,110,8
Jefferson, Georgia,"7,461","8,944",65,112,21
Jenkins, Georgia,"5,105","3,994",67,61,23
Johnson, Georgia,"6,391","3,473",62,38,6
Jones, Georgia,"21,293","7,158",170,276,19
Lamar, Georgia,"12,309","5,726",155,137,16
Lanier, Georgia,"7,698","2,629",186,184,17
Laurens, Georgia,"30,079","17,582",302,575,29
Lee, Georgia,"22,179","5,930",207,744,48
Liberty, Georgia,"35,994","28,553","1,167","2,325",555
Lincoln, Georgia,"5,211","2,526",60,46,9
Long, Georgia,"11,578","4,498",315,335,95
Lowndes, Georgia,"69,375","43,676","1,208","2,480",326
Lumpkin, Georgia,"29,731",706,483,301,65
McDuffie, Georgia,"12,654","8,980",175,133,28
McIntosh, Georgia,"8,834","4,966",137,90,23
Macon, Georgia,"5,425","8,617",100,246,31
Madison, Georgia,"25,081","2,669",220,312,16
Marion, Georgia,"5,653","2,899",131,108,50
Meriwether, Georgia,"12,795","8,417",166,159,10
Miller, Georgia,"4,254","1,690",49,46,4
Mitchell, Georgia,"11,733","11,189",196,192,21
Monroe, Georgia,"20,181","6,331",202,300,22
Montgomery, Georgia,"6,523","2,430",42,38,4
Morgan, Georgia,"13,443","4,266",202,137,14
Murray, Georgia,"38,237",695,590,228,109
Muscogee, Georgia,"100,392","94,760","2,383","6,237",795
Newton, Georgia,"57,099","43,710",905,"1,424",174
Oconee, Georgia,"30,467","1,950",202,"1,308",32
Oglethorpe, Georgia,"11,943","2,706",128,116,12
Paulding, Georgia,"117,077","27,102","1,492","2,212",233
Peach, Georgia,"14,433","12,944",297,333,48
Pickens, Georgia,"28,648",530,306,189,19
Pierce, Georgia,"16,907","1,798",231,129,22
Pike, Georgia,"15,765","2,019",167,123,13
Polk, Georgia,"35,090","5,706",498,415,99
Pulaski, Georgia,"7,849","3,733",69,139,13
Putnam, Georgia,"15,208","5,809",161,151,60
Quitman, Georgia,"1,203","1,192",9,8,0
Rabun, Georgia,"15,796",358,222,174,21
Randolph, Georgia,"2,863","4,433",23,40,7
Richmond, Georgia,"85,575","114,594","2,214","5,069",810
Rockdale, Georgia,"41,672","42,612",928,"2,074",229
Schley, Georgia,"3,846","1,104",21,61,1
Screven, Georgia,"8,079","6,098",111,90,9
Seminole, Georgia,"5,905","3,019",44,67,4
Spalding, Georgia,"41,580","21,871",618,778,106
Stephens, Georgia,"22,573","3,231",216,254,34
Stewart, Georgia,"2,899","3,076",73,95,3
Sumter, Georgia,"14,320","16,774",283,499,71
Talbot, Georgia,"2,711","3,832",48,27,2
Taliaferro, Georgia,668,"1,024",15,15,0
Tattnall, Georgia,"17,485","7,647",233,160,45
Taylor, Georgia,"5,107","3,256",27,76,5
Telfair, Georgia,"10,209","6,040",99,163,26
Terrell, Georgia,"3,479","5,532",82,50,18
Thomas, Georgia,"27,363","16,831",434,459,47
Tift, Georgia,"27,334","13,126",308,708,56
Toombs, Georgia,"19,849","7,149",292,271,44
Towns, Georgia,"10,321",117,64,79,7
Treutlen, Georgia,"4,517","2,239",37,28,3
Troup, Georgia,"43,369","24,141",475,"1,336",144
