County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
St. Clair, Alabama,"77,123","8,547",860,861,99
Shelby, Alabama,"174,760","25,238","1,712","5,115",248
Sumter, Alabama,"3,454","9,863",44,58,8
Talladega, Alabama,"54,112","26,797",833,511,83
Tallapoosa, Alabama,"29,609","11,423",363,271,36
Tuscaloosa, Alabama,"135,430","62,693","1,422","3,397",268
Walker, Alabama,"61,215","4,539",713,309,98
Washington, Alabama,"11,381","4,221","1,426",57,20
Wilcox, Alabama,"3,215","8,085",54,19,6
Winston, Alabama,"23,593",322,393,111,65
Aleutians East, Alaska,855,256,741,"1,321",32
Aleutians West, Alaska,"2,447",464,886,"1,812",176
Anchorage, Alaska,"220,909","25,557","37,747","33,725","9,145"
Bethel, Alaska,"2,797",205,"15,143",278,90
Bristol Bay, Alaska,611,21,451,39,10
Denali, Alaska,"1,742",41,131,38,3
Dillingham, Alaska,"1,354",65,"3,935",99,19
Fairbanks North Star, Alaska,"83,885","7,010","10,939","4,641",820
Haines, Alaska,"2,294",37,403,50,3
Hoonah-Angoon, Alaska,"1,272",34,"1,011",42,7
Juneau, Alaska,"25,544",819,"6,221","2,980",534
Kenai Peninsula, Alaska,"51,278",784,"6,734","1,346",349
Ketchikan Gateway, Alaska,"10,495",230,"2,952","1,266",99
Kodiak Island, Alaska,"8,988",298,"2,561","3,136",210
Lake and Peninsula, Alaska,547,34,"1,184",36,12
Matanuska-Susitna, Alaska,"86,339","2,211","10,316","2,640",759
Nome, Alaska,"2,346",121,"7,839",192,45
North Slope, Alaska,"3,758",208,"5,494",622,205
Northwest Arctic, Alaska,"1,430",115,"6,479",115,28
Wrangell-Petersburg, Alaska,"2,965",78,856,167,34
Prince of Wales-Outer Ketchikan, Alaska,"3,328",72,"2,737",132,62
Sitka, Alaska,"6,783",191,"2,137",714,91
Skagway, Alaska,934,11,71,15,3
Southeast Fairbanks, Alaska,"5,907",154,"1,087",140,56
Valdez-Cordova, Alaska,"7,846",147,"1,890",500,110
Wade Hampton, Alaska,561,48,"7,504",51,14
Wrangell, Alaska,"1,949",41,561,75,12
Yakutat, Alaska,342,25,308,59,13
Yukon-Koyukuk, Alaska,"1,587",62,"4,282",48,24
Apache, Arizona,"17,982","1,003","53,631",488,130
Cochise, Arizona,"117,409","7,422","3,795","4,323",984
Coconino, Arizona,"94,026","3,107","39,329","3,492",630
Gila, Arizona,"43,515",590,"9,163",513,112
Graham, Arizona,"31,085",959,"5,563",381,145
Greenlee, Arizona,"8,499",199,427,104,19
La Paz, Arizona,"16,325",344,"3,935",259,51
Maricopa, Arizona,"3,491,247","271,737","142,249","201,764","19,576"
Mohave, Arizona,"191,197","3,722","8,287","3,650",851
Navajo, Arizona,"56,819","1,980","49,456",994,242
Pima, Arizona,"879,538","49,902","53,090","39,918","4,022"
Pinal, Arizona,"333,680","23,119","31,638","10,224","2,617"
Santa Cruz, Arizona,"45,358",490,821,388,79
Yavapai, Arizona,"206,040","2,789","7,191","3,263",680
Yuma, Arizona,"187,405","6,616","6,292","4,489",917
Arkansas, Arkansas,"13,867","4,821",163,193,6
Ashley, Arkansas,"15,559","5,592",298,84,30
Baxter, Arkansas,"40,270",225,709,314,33
Benton, Arkansas,"219,290","5,586","7,725","9,274","1,169"
Boone, Arkansas,"36,726",262,810,244,37
Bradley, Arkansas,"7,855","3,159",337,68,8
Calhoun, Arkansas,"4,068","1,161",63,30,5
Carroll, Arkansas,"26,859",308,749,298,147
Chicot, Arkansas,"5,023","6,250",89,75,8
Clark, Arkansas,"16,989","5,600",272,197,20
Clay, Arkansas,"15,215",147,182,58,4
Cleburne, Arkansas,"25,276",203,443,104,19
Cleveland, Arkansas,"7,513","1,071",65,27,7
Columbia, Arkansas,"15,053","8,938",235,215,29
Conway, Arkansas,"18,488","2,596",409,167,26
Craighead, Arkansas,"85,433","15,125","1,077","1,376",117
Crawford, Arkansas,"58,077","1,351","2,614","1,250",67
Crittenden, Arkansas,"23,557","25,953",393,435,52
Cross, Arkansas,"13,382","4,101",145,130,12
Dallas, Arkansas,"4,533","3,403",77,27,2
Desha, Arkansas,"6,374","6,069",95,63,20
Drew, Arkansas,"13,280","5,411",140,165,8
Faulkner, Arkansas,"103,618","14,325","1,761","1,954",297
Franklin, Arkansas,"17,439",260,406,196,25
Fulton, Arkansas,"12,124",117,206,52,6
Garland, Arkansas,"87,327","9,181","1,649","1,114",142
Grant, Arkansas,"17,331",574,248,114,14
Greene, Arkansas,"42,376",542,525,199,32
Hempstead, Arkansas,"15,492","6,881",310,179,50
Hot Spring, Arkansas,"29,270","4,093",483,223,48
Howard, Arkansas,"10,426","2,971",213,129,24
Independence, Arkansas,"35,437","1,033",532,473,98
Izard, Arkansas,"12,984",254,253,70,8
Jackson, Arkansas,"14,335","3,198",243,94,29
Jefferson, Arkansas,"31,403","41,240",675,781,132
Johnson, Arkansas,"24,649",680,603,346,46
Lafayette, Arkansas,"4,492","2,719",57,43,4
Lawrence, Arkansas,"16,732",206,200,63,10
Lee, Arkansas,"4,444","5,520",121,70,10
Lincoln, Arkansas,"9,691","4,302",146,71,11
Little River, Arkansas,"9,926","2,637",350,78,17
Logan, Arkansas,"21,044",482,460,468,15
Lonoke, Arkansas,"65,205","4,728",949,998,115
Madison, Arkansas,"15,230",133,412,129,47
Marion, Arkansas,"16,159",132,331,77,17
Miller, Arkansas,"32,057","11,097",666,345,56
Mississippi, Arkansas,"28,795","15,818",418,333,38
Monroe, Arkansas,"4,493","3,130",111,62,2
Montgomery, Arkansas,"8,991",109,248,87,5
Nevada, Arkansas,"6,015","2,780",80,44,6
Newton, Arkansas,"7,904",65,247,41,4
Ouachita, Arkansas,"14,726","10,275",240,169,32
Perry, Arkansas,"9,993",296,197,50,6
Phillips, Arkansas,"7,584","12,770",157,106,11
Pike, Arkansas,"10,610",422,218,93,7
Poinsett, Arkansas,"22,080","2,079",203,107,26
Polk, Arkansas,"19,783",190,743,155,15
Pope, Arkansas,"59,127","2,377","1,382",911,85
Prairie, Arkansas,"7,303","1,050",89,13,6
Pulaski, Arkansas,"239,399","144,084","5,095","10,524",603
Randolph, Arkansas,"17,360",238,230,79,17
St. Francis, Arkansas,"12,512","14,566",342,212,47
Saline, Arkansas,"105,465","7,585","1,444","1,435",114
Scott, Arkansas,"10,173",160,430,427,12
Searcy, Arkansas,"7,855",70,259,38,5
Sebastian, Arkansas,"109,726","10,063","5,155","6,449",479
Sevier, Arkansas,"15,866",904,828,123,53
Sharp, Arkansas,"16,652",218,398,96,8
Stone, Arkansas,"12,384",80,247,77,7
Union, Arkansas,"26,818","13,517",506,406,43
Van Buren, Arkansas,"16,593",196,377,88,9
Washington, Arkansas,"194,878","9,066","6,140","6,769","5,458"
White, Arkansas,"73,906","4,166","1,142",669,98
Woodruff, Arkansas,"5,109","1,976",65,30,7
Yell, Arkansas,"20,883",524,379,391,30
Alameda, California,"889,920","222,981","38,899","493,264","26,164"
Alpine, California,865,16,293,16,3
Amador, California,"34,283","1,044","1,458",780,205
Butte, California,"201,693","6,342","9,814","12,727","1,432"
Calaveras, California,"42,394",724,"1,687","1,082",202
Colusa, California,"19,987",404,780,485,172
Contra Costa, California,"790,564","122,181","24,170","206,679","12,167"
Del Norte, California,"23,155","1,262","3,350","1,326",123
El Dorado, California,"169,727","2,748","4,998","9,988",955
Fresno, California,"763,772","64,827","40,498","111,926","4,808"
Glenn, California,"25,875",489,"1,285",957,105
Humboldt, California,"120,112","3,348","12,225","5,443","1,001"
Imperial, California,"160,991","6,871","6,063","5,271",639
Inyo, California,"15,628",298,"2,663",395,64
Kern, California,"739,316","62,186","34,582","52,026","4,099"
Kings, California,"127,673","12,953","6,377","8,713",998
Lake, California,"58,585","1,976","4,229","1,509",464
Lassen, California,"27,338","3,025","1,940",705,286
Los Angeles, California,"7,406,825","1,015,726","233,288","1,610,942","65,874"
Madera, California,"134,647","6,988","9,012","4,832",663
Marin, California,"231,455","9,480","5,222","20,905","1,349"
Mariposa, California,"16,630",359,983,385,79
Mendocino, California,"78,588","1,543","7,517","2,589",443
Merced, California,"222,425","13,394","9,627","24,408","1,902"
Modoc, California,"8,407",214,628,162,50
Mono, California,"13,262",212,527,363,70
Monterey, California,"367,242","19,462","17,339","38,112","4,456"
Napa, California,"123,386","4,260","3,365","12,899",987
Nevada, California,"94,728","1,069","2,723","2,326",372
Orange, California,"2,398,176","82,895","56,260","661,384","23,007"
Placer, California,"330,295","9,171","8,273","32,753","2,295"
Plumas, California,"17,809",360,973,333,62
Riverside, California,"1,917,503","188,399","66,791","186,047","17,346"
Sacramento, California,"1,023,290","193,153","47,575","267,020","27,427"
San Benito, California,"52,620","1,189","2,693","2,644",378
San Bernardino, California,"1,679,347","226,374","68,127","175,270","16,130"
San Diego, California,"2,578,371","217,972","73,318","455,165","35,557"
San Francisco, California,"483,656","59,451","15,142","309,787","7,159"
San Joaquin, California,"511,886","67,438","26,026","130,038","9,234"
San Luis Obispo, California,"254,958","8,024","7,518","14,440","1,298"
San Mateo, California,"501,166","29,225","12,442","223,775","16,722"
Santa Barbara, California,"388,786","14,076","15,511","31,726","2,352"
Santa Clara, California,"1,130,645","69,247","41,832","684,913","17,163"
Santa Cruz, California,"246,683","6,263","8,759","18,082","1,485"
Shasta, California,"165,906","3,431","9,738","6,986",851
Sierra, California,"2,958",44,89,22,8
Siskiyou, California,"40,236","1,062","3,445",993,271
Solano, California,"281,460","74,454","12,253","80,713","8,693"
Sonoma, California,"451,092","14,021","18,545","28,282","3,741"
Stanislaus, California,"460,787","22,269","17,805","39,362","7,491"
Sutter, California,"74,632","3,304","3,811","17,116",807
Tehama, California,"59,298",987,"3,441","1,243",266
Trinity, California,"12,497",212,"1,143",215,67
Tulare, California,"411,415","12,752","18,023","21,933","2,062"
Tuolumne, California,"50,641","1,451","2,208","1,099",230
Ventura, California,"739,150","24,892","24,813","75,786","5,007"
Yolo, California,"165,021","8,209","6,667","33,307","2,334"
Yuba, California,"62,244","4,139","4,291","6,639",734
Adams, Colorado,"421,498","21,313","16,319","22,886","1,979"
Alamosa, Colorado,"14,753",433,"1,141",349,76
Arapahoe, Colorado,"497,978","76,663","13,275","41,045","2,828"
Archuleta, Colorado,"11,623",126,543,180,25
Baca, Colorado,"3,567",53,109,23,5
Bent, Colorado,"5,032",423,246,72,14
Boulder, Colorado,"289,651","5,145","5,158","17,796",674
Broomfield, Colorado,"54,360","1,237","1,027","4,316",149
Chaffee, Colorado,"17,753",376,443,186,31
Cheyenne, Colorado,"1,842",17,34,14,2
Clear Creek, Colorado,"8,761",113,193,101,11
Conejos, Colorado,"7,854",108,395,90,18
Costilla, Colorado,"3,201",85,237,54,18
Crowley, Colorado,"4,576",525,233,83,2
Custer, Colorado,"4,178",64,79,31,2
Delta, Colorado,"29,549",340,752,367,45
Denver, Colorado,"542,035","75,519","21,414","30,850","2,096"
Dolores, Colorado,"1,946",29,93,11,5
Douglas, Colorado,"287,260","6,077","3,282","16,286",798
Eagle, Colorado,"50,559",654,963,811,86
Elbert, Colorado,"23,101",300,374,336,58
El Paso, Colorado,"577,151","57,633","17,881","30,871","5,118"
Fremont, Colorado,"43,315","2,025","1,446",444,58
Garfield, Colorado,"55,013",868,"1,693",712,157
Gilpin, Colorado,"5,371",97,127,104,14
Grand, Colorado,"13,950",145,259,202,26
Gunnison, Colorado,"14,920",151,518,182,18
Hinsdale, Colorado,796,8,14,10,0
Huerfano, Colorado,"6,001",98,491,96,23
Jackson, Colorado,"1,336",11,38,3,0
Jefferson, Colorado,"521,812","10,287","11,903","20,052","1,408"
Kiowa, Colorado,"1,403",15,22,3,0
Kit Carson, Colorado,"7,677",215,142,87,26
Lake, Colorado,"7,020",89,274,68,15
La Plata, Colorado,"48,959",529,"4,344",631,113
Larimer, Colorado,"302,103","5,228","6,163","9,691",725
Las Animas, Colorado,"13,505",324,702,207,34
Lincoln, Colorado,"5,008",323,98,75,4
Logan, Colorado,"20,928","1,066",495,236,44
Mesa, Colorado,"142,232","2,261","3,953","2,173",408
Mineral, Colorado,708,6,7,7,1
Moffat, Colorado,"12,727",155,306,139,29
Montezuma, Colorado,"22,055",231,"3,672",273,52
Montrose, Colorado,"39,229",441,"1,282",492,83
Morgan, Colorado,"26,800","1,016",659,274,109
Otero, Colorado,"17,611",317,979,250,60
Ouray, Colorado,"4,485",36,61,45,5
Park, Colorado,"15,685",178,383,219,28
Phillips, Colorado,"4,246",62,52,44,6
Pitkin, Colorado,"16,857",203,199,346,36
Prowers, Colorado,"11,911",144,332,91,7
Pueblo, Colorado,"150,416","4,936","7,375","2,369",503
Rio Blanco, Colorado,"6,465",107,325,54,25
Rio Grande, Colorado,"11,292",130,511,96,25
Routt, Colorado,"22,999",203,309,300,45
Saguache, Colorado,"5,902",87,282,86,12
San Juan, Colorado,678,4,17,8,1
San Miguel, Colorado,"7,463",78,145,99,16
Sedgwick, Colorado,"2,301",29,29,37,1
Summit, Colorado,"27,747",383,444,411,64
Teller, Colorado,"22,600",281,541,326,61
Washington, Colorado,"4,733",56,37,32,9
Weld, Colorado,"256,997","4,947","7,384","5,461",746
Yuma, Colorado,"9,959",69,126,55,26
Fairfield, Connecticut,"769,030","123,305","8,798","55,864","2,329"
Hartford, Connecticut,"711,980","147,867","9,965","48,619","1,877"
Litchfield, Connecticut,"179,451","4,645","1,503","4,086",228
Middlesex, Connecticut,"151,316","10,259","1,118","5,810",273
New Haven, Connecticut,"699,830","133,200","9,492","38,777","1,444"
New London, Connecticut,"238,704","23,895","6,439","14,787",868
Tolland, Connecticut,"139,450","6,420","1,057","6,970",293
Windham, Connecticut,"111,628","4,526","1,770","2,045",250
Kent, Delaware,"120,723","46,481","2,853","5,149",488
New Castle, Delaware,"381,907","144,236","5,546","30,660",715
Sussex, Delaware,"174,221","29,389","4,037","3,108",443
District of Columbia, District of Columbia,"293,355","329,875","8,805","31,766","1,776"
Alachua, Florida,"185,719","54,968","2,194","16,898",516
Baker, Florida,"23,080","3,805",293,234,39
Bay, Florida,"149,346","21,836","3,059","5,806",550
Bradford, Florida,"21,360","5,433",259,215,51
Brevard, Florida,"475,214","65,325","6,251","17,380","1,522"
Broward, Florida,"1,230,853","549,255","13,928","80,614","5,873"
Calhoun, Florida,"12,381","2,092",348,138,40
Charlotte, Florida,"151,651","11,208","1,364","2,801",264
Citrus, Florida,"131,981","5,147","1,408","2,671",185
Clay, Florida,"167,625","23,378","2,416","8,381",663
Collier, Florida,"308,171","26,226","2,674","5,829",906
Columbia, Florida,"53,843","13,087",789,926,144
De Soto, Florida,"29,162","4,863",500,323,84
Dixie, Florida,"14,377","1,513",190,87,13
Duval, Florida,"572,236","278,194","9,274","49,041","2,550"
Escambia, Florida,"222,491","74,015","5,745","12,635","1,219"
Flagler, Florida,"85,552","12,409",904,"2,861",236
Franklin, Florida,"9,785","1,758",140,86,16
Gadsden, Florida,"19,879","25,886",452,411,103
Gilchrist, Florida,"15,750","1,034",205,126,24
Glades, Florida,"10,689","1,860",779,130,11
Gulf, Florida,"12,642","3,143",211,106,14
Hamilton, Florida,"9,219","5,005",221,159,18
Hardee, Florida,"24,709","2,258",440,439,51
Hendry, Florida,"31,092","5,214",965,499,108
Hernando, Florida,"161,221","11,231","1,762","3,079",318
Highlands, Florida,"85,115","10,891","1,180","1,814",173
Hillsborough, Florida,"1,004,035","243,875","14,313","60,511","3,489"
Holmes, Florida,"18,059","1,425",399,198,37
Indian River, Florida,"125,930","14,169","1,241","2,487",190
Jackson, Florida,"34,912","13,612",641,415,144
Jefferson, Florida,"8,989","5,166",143,93,20
Lafayette, Florida,"7,402","1,419",91,38,9
Lake, Florida,"265,947","35,322","3,830","7,964",745
Lee, Florida,"585,693","64,821","6,242","13,417","1,518"
Leon, Florida,"182,481","91,780","2,513","10,761",483
Levy, Florida,"35,219","4,121",550,354,69
Liberty, Florida,"6,608","1,681",139,44,6
Madison, Florida,"11,216","7,436",207,98,16
Manatee, Florida,"301,089","34,976","3,256","7,875",584
Marion, Florida,"285,319","47,072","3,685","6,510",573
Martin, Florida,"138,356","9,931","2,236","2,385",378
Miami-Dade, Florida,"2,059,080","518,356","13,533","55,149","4,933"
Monroe, Florida,"69,514","5,836",872,"1,331",149
Nassau, Florida,"69,472","5,428",768,"1,099",120
Okaloosa, Florida,"165,860","22,360","3,103","9,574",917
Okeechobee, Florida,"34,813","3,790",682,491,80
Orange, Florida,"875,320","287,618","13,494","76,759","4,691"
Osceola, Florida,"246,403","44,096","4,311","10,822","1,168"
Palm Beach, Florida,"1,068,048","267,086","13,563","43,801","3,549"
Pasco, Florida,"435,884","29,682","4,754","14,067",825
Pinellas, Florida,"791,366","109,911","8,439","36,888","1,947"
Polk, Florida,"508,504","104,679","7,383","14,028","1,334"
Putnam, Florida,"59,491","12,586",918,649,119
St. Johns, Florida,"191,406","13,352","1,686","6,665",361
St. Lucie, Florida,"221,223","61,185","3,229","6,775",734
Santa Rosa, Florida,"145,098","12,211","3,147","5,377",529
Sarasota, Florida,"363,311","22,066","2,981","7,569",533
Seminole, Florida,"362,704","57,968","4,453","21,604","1,021"
Sumter, Florida,"96,305","9,710",867,"1,039",141
Suwannee, Florida,"37,167","6,150",606,379,65
Taylor, Florida,"17,670","4,941",374,227,28
Union, Florida,"11,602","3,543",127,65,16
Volusia, Florida,"433,529","60,265","5,355","11,159",813
Wakulla, Florida,"25,880","4,965",449,257,59
Walton, Florida,"54,880","3,975","1,298",947,184
Washington, Florida,"20,201","4,099",570,218,61
Appling, Georgia,"14,550","3,735",138,172,36
Atkinson, Georgia,"6,544","1,574",169,77,89
Bacon, Georgia,"9,268","1,938",68,71,14
Baker, Georgia,"1,767","1,548",15,42,3
Baldwin, Georgia,"25,815","19,509",279,894,68
Banks, Georgia,"17,530",603,213,256,30
Barrow, Georgia,"60,064","9,089",777,"2,915",122
Bartow, Georgia,"88,660","11,892","1,260","1,214",173
Ben Hill, Georgia,"11,089","6,270",179,174,10
Berrien, Georgia,"16,730","2,248",162,151,15
Bibb, Georgia,"68,247","83,834",989,"3,383",335
Bleckley, Georgia,"9,194","3,518",51,133,7
Brantley, Georgia,"17,546",718,218,64,8
Brooks, Georgia,"9,921","5,521",138,84,34
Bryan, Georgia,"27,180","5,534",401,864,109
Bulloch, Georgia,"49,001","21,240",604,"1,406",150
Burke, Georgia,"11,571","11,322",168,155,39
Butts, Georgia,"16,601","6,666",173,174,14
Calhoun, Georgia,"2,420","4,050",61,37,22
Camden, Georgia,"40,029","10,797",725,"1,281",209
Candler, Georgia,"8,121","2,768",63,89,24
Carroll, Georgia,"89,505","22,540","1,104","1,371",179
Catoosa, Georgia,"62,264","2,219",662,"1,129",84
Charlton, Georgia,"8,805","4,397",137,109,14
Chatham, Georgia,"156,873","115,256","2,470","9,412",673
Chattahoochee, Georgia,"9,802","2,614",302,477,150
Chattooga, Georgia,"22,190","2,847",231,178,85
Cherokee, Georgia,"204,785","16,401","2,431","5,530",392
Clarke, Georgia,"82,004","34,207","1,045","6,175",278
Clay, Georgia,"1,206","1,828",19,17,3
Clayton, Georgia,"68,002","183,518","3,425","14,855",632
Clinch, Georgia,"4,831","1,945",87,23,5
Cobb, Georgia,"483,689","201,928","7,991","40,575","1,049"
Coffee, Georgia,"30,529","12,442",321,424,43
Colquitt, Georgia,"34,238","11,190",818,519,85
Columbia, Georgia,"106,139","24,235","1,456","7,214",414
Cook, Georgia,"12,124","4,834",131,157,18
Coweta, Georgia,"105,923","25,186","1,341","3,130",249
Crawford, Georgia,"9,683","2,775",145,66,11
Crisp, Georgia,"12,810","10,348",138,286,24
Dade, Georgia,"16,004",297,199,202,15
Dawson, Georgia,"22,214",319,256,216,22
Decatur, Georgia,"15,575","11,496",325,218,43
De Kalb, Georgia,"275,063","399,293","9,052","44,598","1,250"
Dodge, Georgia,"14,651","6,461",150,125,40
Dooly, Georgia,"7,025","7,202",73,125,13
Dougherty, Georgia,"28,152","63,961",642,"1,160",235
Douglas, Georgia,"74,918","60,004","1,510","2,946",373
Early, Georgia,"5,210","5,266",86,64,2
Echols, Georgia,"3,671",240,182,26,9
Effingham, Georgia,"46,031","8,043",572,721,87
Elbert, Georgia,"13,525","5,929",121,206,15
Emanuel, Georgia,"14,792","7,938",147,202,16
Evans, Georgia,"7,254","3,416",111,146,40
Fannin, Georgia,"23,374",249,277,147,11
Fayette, Georgia,"79,524","24,376","1,141","5,441",237
Floyd, Georgia,"79,082","15,174","1,303","1,636",291
Forsyth, Georgia,"171,493","7,640","1,810","17,283",244
Franklin, Georgia,"19,691","2,238",204,231,19
Fulton, Georgia,"476,780","449,505","9,019","69,410","1,381"
Gilmer, Georgia,"27,843",350,395,169,151
Glascock, Georgia,"2,785",313,30,12,2
Glynn, Georgia,"57,869","22,534",870,"1,551",220
Gordon, Georgia,"52,082","2,895",581,740,239
Grady, Georgia,"17,421","7,463",459,207,72
Greene, Georgia,"10,117","6,127",155,103,30
Gwinnett, Georgia,"525,162","238,667","13,169","104,019","1,904"
Habersham, Georgia,"39,845","1,998",706,"1,235",149
Hall, Georgia,"166,431","16,507","2,784","4,433",480
Hancock, Georgia,"2,326","6,488",59,76,1
Haralson, Georgia,"26,804","1,586",285,241,17
Harris, Georgia,"26,604","5,794",306,454,37
Hart, Georgia,"20,374","5,023",142,306,15
Heard, Georgia,"10,184","1,335",124,104,11
Henry, Georgia,"118,847","86,699","2,065","8,318",420
Houston, Georgia,"98,047","46,318","1,762","5,540",494
Irwin, Georgia,"6,784","2,609",38,90,6
Jackson, Georgia,"55,286","4,877",557,"1,291",74
Jasper, Georgia,"10,456","3,147",146,86,6
Jeff Davis, Georgia,"12,465","2,426",146,116,13
Jefferson, Georgia,"7,343","8,918",70,116,15
Jenkins, Georgia,"5,143","4,060",67,66,23
Johnson, Georgia,"6,319","3,431",56,43,7
Jones, Georgia,"21,210","7,209",176,283,16
Lamar, Georgia,"12,180","5,785",146,145,17
Lanier, Georgia,"7,723","2,546",193,216,15
Laurens, Georgia,"29,876","17,750",322,585,40
Lee, Georgia,"22,292","6,150",222,783,53
Liberty, Georgia,"35,113","28,128","1,134","2,323",531
Lincoln, Georgia,"5,231","2,479",65,53,6
Long, Georgia,"11,829","4,691",283,361,124
Lowndes, Georgia,"68,532","42,823","1,168","2,571",352
Lumpkin, Georgia,"29,851",758,467,333,77
McDuffie, Georgia,"12,633","8,919",160,144,35
McIntosh, Georgia,"8,946","4,994",136,91,21
Macon, Georgia,"5,305","8,465",100,248,29
Madison, Georgia,"25,068","2,765",219,366,27
Marion, Georgia,"5,661","2,842",129,104,55
Meriwether, Georgia,"12,675","8,468",168,158,12
Miller, Georgia,"4,218","1,681",51,51,4
Mitchell, Georgia,"11,690","11,159",197,196,21
Monroe, Georgia,"20,337","6,403",196,321,23
Montgomery, Georgia,"6,584","2,441",36,52,2
Morgan, Georgia,"13,397","4,255",187,156,17
Murray, Georgia,"38,057",772,571,239,131
Muscogee, Georgia,"102,331","96,879","2,479","6,482",799
Newton, Georgia,"57,122","44,831",916,"1,480",207
Oconee, Georgia,"30,830","2,039",200,"1,393",30
Oglethorpe, Georgia,"11,811","2,746",127,123,15
Paulding, Georgia,"118,347","27,904","1,471","2,288",257
Peach, Georgia,"14,355","12,444",322,342,50
Pickens, Georgia,"28,789",571,335,232,18
Pierce, Georgia,"16,887","1,890",235,150,26
Pike, Georgia,"15,738","2,034",161,126,15
Polk, Georgia,"35,048","5,788",479,429,107
Pulaski, Georgia,"7,710","3,718",72,146,13
Putnam, Georgia,"15,255","5,930",163,171,60
Quitman, Georgia,"1,233","1,131",14,11,1
Rabun, Georgia,"15,710",386,230,186,17
Randolph, Georgia,"2,775","4,399",26,47,10
Richmond, Georgia,"84,598","115,007","2,243","5,150",826
Rockdale, Georgia,"41,259","44,216","1,000","2,107",250
Schley, Georgia,"3,906","1,134",27,62,3
Screven, Georgia,"8,075","6,106",127,94,12
Seminole, Georgia,"5,878","3,038",53,81,5
Spalding, Georgia,"41,466","21,946",630,789,106
Stephens, Georgia,"22,433","3,226",228,267,42
Stewart, Georgia,"2,766","3,024",68,97,3
Sumter, Georgia,"14,163","16,662",300,502,82
Talbot, Georgia,"2,700","3,753",61,26,3
Taliaferro, Georgia,687,"1,015",13,14,2
Tattnall, Georgia,"17,582","7,736",243,181,45
Taylor, Georgia,"5,146","3,266",37,81,6
Telfair, Georgia,"10,364","6,097",116,160,31
Terrell, Georgia,"3,482","5,482",90,58,22
Thomas, Georgia,"27,659","16,847",463,431,59
Tift, Georgia,"27,162","12,569",320,698,59
Toombs, Georgia,"19,710","7,300",301,296,51
Towns, Georgia,"10,548",145,59,82,8
Treutlen, Georgia,"4,473","2,236",39,32,2
