County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Bristol Bay, Alaska,665,24,489,29,5
Denali, Alaska,"1,720",24,141,33,3
Dillingham, Alaska,"1,327",51,"3,927",78,20
Fairbanks North Star, Alaska,"83,510","6,295","11,106","4,405",845
Haines, Alaska,"2,278",31,367,39,5
Hoonah-Angoon, Alaska,"1,225",39,"1,037",41,4
Juneau, Alaska,"25,259",660,"6,257","2,868",477
Kenai Peninsula, Alaska,"50,800",608,"6,658","1,244",299
Ketchikan Gateway, Alaska,"10,482",199,"2,948","1,225",91
Kodiak Island, Alaska,"8,872",241,"2,607","3,037",169
Lake and Peninsula, Alaska,545,36,"1,205",28,8
Matanuska-Susitna, Alaska,"83,780","1,852","9,630","2,410",663
Nome, Alaska,"2,245",100,"7,941",173,36
North Slope, Alaska,"3,632",200,"5,526",552,161
Northwest Arctic, Alaska,"1,330",105,"6,613",116,33
Wrangell-Petersburg, Alaska,"2,988",82,904,170,39
Prince of Wales-Outer Ketchikan, Alaska,"3,323",86,"2,701",123,54
Sitka, Alaska,"6,660",149,"2,208",742,83
Skagway, Alaska,899,9,70,17,2
Southeast Fairbanks, Alaska,"6,063",145,"1,079",126,56
Valdez-Cordova, Alaska,"7,865",137,"1,880",466,99
Wade Hampton, Alaska,406,36,"7,332",45,17
Wrangell, Alaska,"1,938",26,557,63,16
Yakutat, Alaska,358,18,304,66,15
Yukon-Koyukuk, Alaska,"1,577",46,"4,360",44,18
Apache, Arizona,"18,419",804,"53,820",448,99
Cochise, Arizona,"120,499","7,507","3,760","4,261",950
Coconino, Arizona,"92,005","2,738","39,493","3,088",586
Gila, Arizona,"44,413",477,"8,839",434,99
Graham, Arizona,"30,478",968,"5,679",342,147
Greenlee, Arizona,"8,120",164,376,82,15
La Paz, Arizona,"16,603",326,"3,848",206,47
Maricopa, Arizona,"3,387,403","252,301","133,222","184,312","18,144"
Mohave, Arizona,"191,213","3,344","8,012","3,454",818
Navajo, Arizona,"57,631","1,677","48,854",948,238
Pima, Arizona,"874,431","48,310","51,997","37,998","3,868"
Pinal, Arizona,"328,825","22,805","30,668","10,028","2,667"
Santa Cruz, Arizona,"46,066",416,732,352,60
Yavapai, Arizona,"202,566","2,470","6,795","3,000",610
Yuma, Arizona,"188,543","6,381","6,034","4,305",897
Arkansas, Arkansas,"14,015","4,828",150,140,9
Ashley, Arkansas,"15,839","5,690",255,93,28
Baxter, Arkansas,"40,680",187,686,281,36
Benton, Arkansas,"211,374","4,806","7,280","8,316","1,095"
Boone, Arkansas,"36,426",223,774,242,41
Bradley, Arkansas,"8,066","3,215",264,67,5
Calhoun, Arkansas,"4,116","1,155",53,29,2
Carroll, Arkansas,"26,721",242,701,257,90
Chicot, Arkansas,"5,222","6,378",88,70,7
Clark, Arkansas,"17,178","5,611",266,201,14
Clay, Arkansas,"15,685",121,165,52,8
Cleburne, Arkansas,"25,600",173,436,88,18
Cleveland, Arkansas,"7,639","1,033",55,20,5
Columbia, Arkansas,"15,277","9,197",197,226,14
Conway, Arkansas,"18,523","2,512",390,143,17
Craighead, Arkansas,"83,326","14,095","1,052","1,390",112
Crawford, Arkansas,"58,410","1,245","2,568","1,120",64
Crittenden, Arkansas,"24,016","26,221",381,417,55
Cross, Arkansas,"13,574","4,117",137,114,8
Dallas, Arkansas,"4,574","3,496",77,19,7
Desha, Arkansas,"6,471","6,194",93,54,19
Drew, Arkansas,"13,202","5,414",139,144,8
Faulkner, Arkansas,"101,648","13,164","1,714","1,878",303
Franklin, Arkansas,"17,461",222,369,187,25
Fulton, Arkansas,"12,137",107,205,53,5
Garland, Arkansas,"87,179","8,806","1,639","1,051",129
Grant, Arkansas,"17,344",491,202,87,18
Greene, Arkansas,"42,046",487,513,193,27
Hempstead, Arkansas,"15,544","6,852",300,161,47
Hot Spring, Arkansas,"29,036","3,893",467,199,48
Howard, Arkansas,"10,711","2,940",208,129,32
Independence, Arkansas,"35,405",951,502,407,91
Izard, Arkansas,"13,204",246,241,55,5
Jackson, Arkansas,"14,621","3,121",217,80,28
Jefferson, Arkansas,"32,975","42,505",627,763,99
Johnson, Arkansas,"24,618",600,553,260,49
Lafayette, Arkansas,"4,693","2,809",58,39,1
Lawrence, Arkansas,"16,993",218,185,48,10
Lee, Arkansas,"4,502","5,735",106,62,5
Lincoln, Arkansas,"9,902","4,382",129,63,5
Little River, Arkansas,"10,137","2,661",348,60,10
Logan, Arkansas,"21,260",475,472,447,16
Lonoke, Arkansas,"64,028","4,626",903,900,108
Madison, Arkansas,"15,283",113,392,105,13
Marion, Arkansas,"16,396",110,319,58,11
Miller, Arkansas,"32,460","11,019",623,306,51
Mississippi, Arkansas,"29,734","16,124",385,349,42
Monroe, Arkansas,"4,687","3,347",85,48,1
Montgomery, Arkansas,"9,189",100,232,74,7
Nevada, Arkansas,"6,139","2,848",90,37,3
Newton, Arkansas,"8,124",53,234,40,3
Ouachita, Arkansas,"15,104","10,626",238,160,24
Perry, Arkansas,"10,052",253,185,39,5
Phillips, Arkansas,"7,840","13,532",150,95,2
Pike, Arkansas,"10,729",389,197,96,3
Poinsett, Arkansas,"22,474","1,979",185,88,17
Polk, Arkansas,"19,991",151,742,127,15
Pope, Arkansas,"59,375","2,222","1,354",847,83
Prairie, Arkansas,"7,466","1,092",70,20,6
Pulaski, Arkansas,"238,539","140,642","4,943","9,756",632
Randolph, Arkansas,"17,686",216,229,61,13
St. Francis, Arkansas,"12,898","14,831",335,209,37
Saline, Arkansas,"102,516","6,210","1,399","1,284",88
Scott, Arkansas,"10,499",138,404,435,8
Searcy, Arkansas,"7,931",58,237,30,3
Sebastian, Arkansas,"109,817","9,797","4,982","6,189",415
Sevier, Arkansas,"15,725",912,795,98,23
Sharp, Arkansas,"16,914",189,390,69,10
Stone, Arkansas,"12,407",69,241,66,6
Union, Arkansas,"27,205","13,923",474,308,37
Van Buren, Arkansas,"16,838",156,382,86,5
Washington, Arkansas,"188,424","8,152","5,730","6,095","4,824"
White, Arkansas,"73,838","3,815","1,132",658,90
Woodruff, Arkansas,"5,210","2,010",57,38,9
Yell, Arkansas,"21,010",483,336,382,29
Alameda, California,"869,656","222,920","38,317","462,793","25,014"
Alpine, California,864,22,243,13,1
Amador, California,"35,070","1,232","1,460",757,184
Butte, California,"200,084","6,050","9,625","12,294","1,341"
Calaveras, California,"43,070",677,"1,690","1,010",185
Colusa, California,"20,093",388,775,447,156
Contra Costa, California,"776,391","118,858","23,087","193,491","11,455"
Del Norte, California,"23,785","1,301","3,296","1,270",115
El Dorado, California,"169,427","2,591","5,001","9,324",896
Fresno, California,"753,873","63,503","39,635","108,440","4,575"
Glenn, California,"26,126",476,"1,274",948,85
Humboldt, California,"121,038","3,108","12,260","5,159",981
Imperial, California,"160,198","7,205","6,015","5,044",595
Inyo, California,"15,657",294,"2,582",374,63
Kern, California,"727,537","61,545","33,887","49,193","3,916"
Kings, California,"128,531","13,388","6,216","8,535",912
Lake, California,"59,103","1,888","4,194","1,433",441
Lassen, California,"29,064","3,339","2,036",680,280
Los Angeles, California,"7,329,997","1,004,857","227,940","1,559,143","63,872"
Madera, California,"134,627","7,286","8,877","4,370",654
Marin, California,"228,777","9,677","5,208","19,812","1,312"
Mariposa, California,"17,135",317,966,359,72
Mendocino, California,"79,177","1,454","7,353","2,348",404
Merced, California,"219,528","13,366","9,341","23,669","1,739"
Modoc, California,"8,791",193,639,136,47
Mono, California,"13,645",196,501,354,60
Monterey, California,"361,123","19,140","16,928","36,956","4,347"
Napa, California,"121,974","4,041","3,249","11,970",926
Nevada, California,"95,380",996,"2,714","2,156",326
Orange, California,"2,372,690","78,351","54,809","627,460","22,095"
Placer, California,"323,054","8,256","8,005","29,678","2,183"
Plumas, California,"18,637",365,"1,010",283,50
Riverside, California,"1,875,949","181,291","64,256","176,625","16,440"
Sacramento, California,"1,008,539","189,802","46,583","255,676","26,207"
San Benito, California,"51,536","1,097","2,571","2,471",350
San Bernardino, California,"1,661,983","224,554","66,651","168,098","15,608"
San Diego, California,"2,529,304","211,528","71,152","433,187","34,178"
San Francisco, California,"472,050","59,547","14,914","297,456","6,956"
San Joaquin, California,"505,568","67,151","25,353","126,365","8,865"
San Luis Obispo, California,"250,452","7,886","7,233","13,600","1,216"
San Mateo, California,"494,730","28,816","12,181","210,056","16,298"
Santa Barbara, California,"380,989","13,323","14,908","29,820","2,308"
Santa Clara, California,"1,116,190","66,672","40,901","648,521","16,686"
Santa Cruz, California,"242,777","5,868","8,424","17,393","1,438"
Shasta, California,"165,320","3,185","9,653","6,560",817
Sierra, California,"3,018",36,74,32,11
Siskiyou, California,"41,200","1,030","3,411","1,029",246
Solano, California,"275,489","74,108","11,925","78,368","8,482"
Sonoma, California,"445,273","13,271","18,034","27,026","3,669"
Stanislaus, California,"455,541","21,743","17,367","37,519","7,154"
Sutter, California,"74,774","3,182","3,778","16,398",770
Tehama, California,"59,729",904,"3,401","1,177",228
Trinity, California,"12,766",196,"1,154",202,69
Tulare, California,"406,274","12,255","17,647","21,107","1,993"
Tuolumne, California,"51,397","1,514","2,274","1,042",221
Ventura, California,"732,801","24,060","24,348","73,457","4,842"
Yolo, California,"163,119","7,813","6,574","32,613","2,279"
Yuba, California,"61,808","3,912","4,269","6,482",728
Adams, Colorado,"407,140","19,649","15,390","21,129","1,755"
Alamosa, Colorado,"14,691",393,"1,087",346,62
Arapahoe, Colorado,"482,599","72,428","12,715","38,286","2,659"
Archuleta, Colorado,"11,473",108,501,171,20
Baca, Colorado,"3,721",48,86,24,4
Bent, Colorado,"5,550",504,249,84,8
Boulder, Colorado,"281,404","4,634","4,856","16,626",624
Broomfield, Colorado,"52,251","1,092",951,"4,223",134
Chaffee, Colorado,"17,337",358,380,172,23
Cheyenne, Colorado,"1,831",14,27,13,2
Clear Creek, Colorado,"8,835",99,174,74,11
Conejos, Colorado,"7,892",100,393,69,19
Costilla, Colorado,"3,350",75,239,46,13
Crowley, Colorado,"4,988",585,249,76,1
Custer, Colorado,"4,126",61,74,27,1
Delta, Colorado,"29,567",306,735,274,41
Denver, Colorado,"516,156","73,345","20,684","28,489","1,816"
Dolores, Colorado,"1,951",27,87,9,6
Douglas, Colorado,"275,171","5,553","3,092","14,894",712
Eagle, Colorado,"50,008",605,941,748,80
Elbert, Colorado,"22,682",298,345,299,55
El Paso, Colorado,"563,047","54,331","17,195","29,105","4,912"
Fremont, Colorado,"44,105","2,073","1,405",418,66
Garfield, Colorado,"53,868",803,"1,613",637,132
Gilpin, Colorado,"5,291",60,100,96,17
Grand, Colorado,"14,214",139,229,181,33
Gunnison, Colorado,"14,862",148,496,174,20
Hinsdale, Colorado,816,9,14,10,0
Huerfano, Colorado,"6,053",79,446,73,16
Jackson, Colorado,"1,354",9,31,3,0
Jefferson, Colorado,"510,157","9,487","11,541","19,178","1,333"
Kiowa, Colorado,"1,444",10,18,2,0
Kit Carson, Colorado,"7,850",216,127,73,19
Lake, Colorado,"7,118",79,257,62,10
La Plata, Colorado,"47,762",501,"4,261",566,94
Larimer, Colorado,"292,134","4,675","5,847","9,034",646
Las Animas, Colorado,"14,108",319,745,171,38
Lincoln, Colorado,"5,022",315,93,67,6
Logan, Colorado,"21,250","1,055",459,226,39
Mesa, Colorado,"142,426","2,061","3,833","2,093",414
Mineral, Colorado,701,8,5,2,0
Moffat, Colorado,"13,085",118,284,135,31
Montezuma, Colorado,"21,976",200,"3,544",239,42
Montrose, Colorado,"39,523",390,"1,238",462,85
Morgan, Colorado,"26,912","1,043",613,259,109
Otero, Colorado,"17,910",303,939,245,51
Ouray, Colorado,"4,369",27,54,38,7
Park, Colorado,"15,710",164,352,214,30
Phillips, Colorado,"4,267",52,44,39,8
Pitkin, Colorado,"16,641",177,165,329,42
Prowers, Colorado,"12,157",134,289,74,12
Pueblo, Colorado,"149,793","4,722","7,213","2,231",454
Rio Blanco, Colorado,"6,559",124,205,59,23
Rio Grande, Colorado,"11,473",112,482,89,11
Routt, Colorado,"22,717",198,285,273,46
Saguache, Colorado,"5,934",72,246,80,10
San Juan, Colorado,690,4,12,11,0
San Miguel, Colorado,"7,275",70,151,87,12
Sedgwick, Colorado,"2,320",22,29,30,2
Summit, Colorado,"27,119",363,376,396,51
Teller, Colorado,"22,702",237,533,319,54
Washington, Colorado,"4,750",54,36,31,9
Weld, Colorado,"246,718","4,378","6,917","4,934",646
Yuma, Colorado,"9,984",52,121,57,21
Fairfield, Connecticut,"764,324","118,646","8,408","52,128","2,213"
Hartford, Connecticut,"716,201","144,153","9,531","46,028","1,793"
Litchfield, Connecticut,"181,969","4,314","1,436","3,905",220
Middlesex, Connecticut,"152,619","9,877","1,068","5,506",250
New Haven, Connecticut,"705,300","130,606","9,107","36,898","1,419"
New London, Connecticut,"239,605","22,798","6,211","14,633",807
Tolland, Connecticut,"141,263","6,505","1,055","6,689",305
Windham, Connecticut,"112,558","4,436","1,721","1,989",218
Kent, Delaware,"118,385","44,647","2,738","4,845",453
New Castle, Delaware,"380,195","140,451","5,319","28,246",634
Sussex, Delaware,"168,719","28,769","3,899","2,822",427
District of Columbia, District of Columbia,"275,004","323,127","8,348","29,083","1,659"
Alachua, Florida,"182,906","54,260","2,213","16,159",506
Baker, Florida,"23,166","3,802",283,209,23
Bay, Florida,"145,403","20,845","2,911","5,330",461
Bradford, Florida,"22,153","6,192",246,233,41
Brevard, Florida,"471,073","63,116","5,970","16,503","1,419"
Broward, Florida,"1,209,520","519,301","13,199","75,367","5,465"
Calhoun, Florida,"12,444","2,146",341,133,28
Charlotte, Florida,"147,401","10,375","1,224","2,647",228
Citrus, Florida,"132,875","4,878","1,389","2,492",178
Clay, Florida,"164,764","22,236","2,335","7,876",611
Collier, Florida,"298,512","24,425","2,608","5,122",814
Columbia, Florida,"54,048","12,726",812,867,126
De Soto, Florida,"29,316","4,791",474,290,83
Dixie, Florida,"14,825","1,470",176,86,16
Duval, Florida,"564,707","272,709","9,151","46,667","2,392"
Escambia, Florida,"217,469","73,054","5,616","11,815","1,140"
Flagler, Florida,"83,194","12,289",817,"2,696",237
Franklin, Florida,"9,758","1,700",128,61,30
Gadsden, Florida,"20,325","26,681",409,391,105
Gilchrist, Florida,"15,862","1,009",194,96,24
Glades, Florida,"10,681","1,736",720,108,14
Gulf, Florida,"12,646","3,020",189,86,18
Hamilton, Florida,"9,393","5,091",201,126,19
Hardee, Florida,"24,161","2,036",426,397,48
Hendry, Florida,"31,964","5,648","1,010",450,91
Hernando, Florida,"160,368","10,843","1,604","2,780",283
Highlands, Florida,"86,117","10,521","1,096","1,797",168
Hillsborough, Florida,"987,817","241,361","13,859","56,289","3,261"
Holmes, Florida,"18,314","1,313",384,162,40
Indian River, Florida,"123,430","13,819","1,157","2,237",186
Jackson, Florida,"35,160","13,565",635,397,133
Jefferson, Florida,"9,171","5,278",125,91,17
Lafayette, Florida,"7,374","1,423",80,32,8
Lake, Florida,"260,057","33,491","3,695","7,351",675
Lee, Florida,"560,824","60,705","5,759","12,002","1,358"
Leon, Florida,"181,942","88,973","2,456","10,288",436
Levy, Florida,"35,807","4,162",544,338,50
Liberty, Florida,"6,588","1,590",123,42,10
Madison, Florida,"11,500","7,548",199,96,9
Manatee, Florida,"288,673","33,116","3,053","7,039",542
Marion, Florida,"282,431","45,591","3,598","6,006",533
Martin, Florida,"135,216","9,116","2,075","2,217",343
Miami-Dade, Florida,"2,011,372","517,506","13,001","52,167","4,723"
Monroe, Florida,"68,003","5,050",830,"1,215",138
Nassau, Florida,"68,198","5,220",714,984,108
Okaloosa, Florida,"157,725","20,384","2,825","8,761",813
Okeechobee, Florida,"35,222","3,616",662,482,74
Orange, Florida,"839,345","271,890","12,651","71,493","4,396"
Osceola, Florida,"230,312","39,796","3,912","10,093","1,126"
Palm Beach, Florida,"1,047,791","253,518","13,289","40,974","3,356"
Pasco, Florida,"429,979","26,997","4,648","13,285",799
Pinellas, Florida,"784,177","106,949","8,252","34,548","1,851"
Polk, Florida,"500,313","100,344","7,113","13,225","1,247"
Putnam, Florida,"60,577","12,878",906,622,111
St. Johns, Florida,"179,549","12,301","1,498","5,664",346
St. Lucie, Florida,"218,123","58,882","3,148","6,253",687
Santa Rosa, Florida,"140,924","11,344","2,942","4,829",495
Sarasota, Florida,"355,727","21,242","2,860","6,835",474
Seminole, Florida,"356,564","55,123","4,206","20,210",958
Sumter, Florida,"87,807","9,589",817,890,128
Suwannee, Florida,"37,144","5,874",564,360,58
Taylor, Florida,"17,610","4,823",373,214,24
Union, Florida,"11,750","3,525",108,72,10
Volusia, Florida,"429,168","58,458","5,104","10,408",742
Wakulla, Florida,"25,981","4,791",421,240,57
Walton, Florida,"51,212","3,650","1,168",800,155
Washington, Florida,"20,356","3,912",562,214,53
Appling, Georgia,"14,567","3,729",119,172,40
Atkinson, Georgia,"6,655","1,529",163,75,81
Bacon, Georgia,"9,286","1,884",68,69,14
Baker, Georgia,"1,743","1,552",19,37,2
Baldwin, Georgia,"25,638","18,719",270,816,57
Banks, Georgia,"17,534",566,191,222,31
Barrow, Georgia,"58,764","8,854",766,"2,751",108
Bartow, Georgia,"88,127","11,369","1,248","1,103",160
Ben Hill, Georgia,"11,183","6,260",167,181,15
Berrien, Georgia,"16,982","2,289",135,140,13
Bibb, Georgia,"69,749","83,727",998,"3,192",318
Bleckley, Georgia,"9,414","3,557",56,139,5
Brantley, Georgia,"17,860",700,216,69,4
Brooks, Georgia,"10,179","5,629",129,98,21
Bryan, Georgia,"25,854","5,032",315,742,79
Bulloch, Georgia,"50,026","21,869",604,"1,290",126
Burke, Georgia,"11,705","11,850",155,126,28
Butts, Georgia,"16,869","6,630",172,158,9
Calhoun, Georgia,"2,435","4,067",44,39,20
Camden, Georgia,"39,222","10,534",637,"1,194",175
Candler, Georgia,"8,269","2,962",52,94,17
Carroll, Georgia,"88,719","21,789","1,081","1,275",168
Catoosa, Georgia,"62,033","2,045",648,"1,063",78
Charlton, Georgia,"8,930","4,402",137,106,6
Chatham, Georgia,"153,489","112,610","2,387","8,665",635
Chattahoochee, Georgia,"8,958","2,578",242,445,121
Chattooga, Georgia,"22,499","3,117",222,173,79
Cherokee, Georgia,"199,097","14,997","2,322","5,070",391
Clarke, Georgia,"80,513","33,120",951,"6,040",263
Clay, Georgia,"1,244","1,902",19,13,2
Clayton, Georgia,"68,645","180,811","3,526","14,577",639
Clinch, Georgia,"4,803","1,920",81,23,6
Cobb, Georgia,"476,726","190,394","7,797","37,925","1,090"
Coffee, Georgia,"30,503","12,215",287,442,37
Colquitt, Georgia,"34,319","10,678",787,427,82
Columbia, Georgia,"102,038","21,455","1,285","6,415",397
Cook, Georgia,"12,203","4,697",126,154,13
Coweta, Georgia,"103,545","24,003","1,322","2,831",241
Crawford, Georgia,"9,706","2,875",134,55,16
Crisp, Georgia,"13,056","10,623",114,236,17
Dade, Georgia,"16,148",265,177,175,17
Dawson, Georgia,"21,788",277,242,198,24
Decatur, Georgia,"15,710","11,680",305,200,41
De Kalb, Georgia,"269,195","390,876","9,020","41,949","1,213"
Dodge, Georgia,"14,793","6,548",143,134,35
Dooly, Georgia,"7,245","7,210",75,113,11
Dougherty, Georgia,"29,094","64,678",628,"1,035",260
Douglas, Georgia,"75,499","56,163","1,393","2,728",353
Early, Georgia,"5,333","5,332",81,54,5
Echols, Georgia,"3,791",212,159,25,8
Effingham, Georgia,"44,707","7,595",539,666,77
Elbert, Georgia,"13,759","5,974",116,179,11
Emanuel, Georgia,"14,674","7,730",157,199,16
Evans, Georgia,"7,392","3,428",98,127,39
Fannin, Georgia,"23,195",184,251,134,11
Fayette, Georgia,"79,591","23,449","1,072","5,122",230
Floyd, Georgia,"79,616","15,000","1,271","1,587",298
Forsyth, Georgia,"163,126","6,382","1,635","13,706",254
Franklin, Georgia,"19,756","2,103",178,204,18
Fulton, Georgia,"460,684","436,203","8,834","62,737","1,251"
Gilmer, Georgia,"27,633",295,349,147,157
Glascock, Georgia,"2,835",273,27,11,0
Glynn, Georgia,"57,246","21,955",821,"1,416",212
Gordon, Georgia,"51,982","2,714",586,727,238
Grady, Georgia,"17,352","7,423",451,197,70
Greene, Georgia,"9,858","6,108",137,78,21
Gwinnett, Georgia,"514,806","219,706","12,884","97,337","1,787"
Habersham, Georgia,"39,840","1,822",686,"1,199",142
Hall, Georgia,"162,684","15,611","2,735","4,109",459
Hancock, Georgia,"2,385","6,919",64,56,3
Haralson, Georgia,"26,914","1,537",250,203,14
Harris, Georgia,"26,270","5,824",290,441,38
Hart, Georgia,"20,390","4,981",129,283,13
Heard, Georgia,"10,385","1,305",123,87,11
Henry, Georgia,"119,624","82,183","2,041","7,840",416
Houston, Georgia,"96,966","43,966","1,666","5,187",449
Irwin, Georgia,"7,003","2,645",36,85,3
Jackson, Georgia,"54,985","4,670",514,"1,258",63
Jasper, Georgia,"10,601","3,175",139,70,9
Jeff Davis, Georgia,"12,638","2,371",126,98,13
Jefferson, Georgia,"7,586","9,107",63,104,18
Jenkins, Georgia,"4,727","3,353",64,56,24
Johnson, Georgia,"6,418","3,487",56,36,6
Jones, Georgia,"21,337","7,225",160,261,18
Lamar, Georgia,"12,313","5,878",141,142,10
Lanier, Georgia,"7,759","2,608",166,171,15
Laurens, Georgia,"30,080","17,563",284,589,21
Lee, Georgia,"22,202","5,779",188,767,42
Liberty, Georgia,"35,272","29,023","1,126","2,177",598
Lincoln, Georgia,"5,287","2,566",60,47,7
Long, Georgia,"10,925","4,186",298,299,102
Lowndes, Georgia,"68,050","42,182","1,162","2,463",321
Lumpkin, Georgia,"29,610",629,448,286,63
McDuffie, Georgia,"12,692","8,910",160,133,27
McIntosh, Georgia,"8,997","5,203",130,92,18
Macon, Georgia,"5,453","8,807",94,231,24
Madison, Georgia,"25,219","2,641",200,277,20
Marion, Georgia,"5,580","3,001",113,111,41
Meriwether, Georgia,"12,945","8,589",148,168,12
Miller, Georgia,"4,309","1,754",34,44,3
Mitchell, Georgia,"11,920","11,365",181,185,19
Monroe, Georgia,"20,123","6,328",193,295,18
Montgomery, Georgia,"6,575","2,496",27,40,3
Morgan, Georgia,"13,532","4,276",175,158,9
Murray, Georgia,"38,370",642,555,237,112
Muscogee, Georgia,"97,472","93,220","2,323","6,015",847
Newton, Georgia,"57,073","43,253",869,"1,388",168
Oconee, Georgia,"30,219","1,962",183,"1,266",34
Oglethorpe, Georgia,"12,040","2,753",114,113,15
Paulding, Georgia,"116,224","26,942","1,434","2,145",241
Peach, Georgia,"14,399","12,982",280,342,50
Pickens, Georgia,"28,797",507,287,189,16
Pierce, Georgia,"16,816","1,751",221,133,19
Pike, Georgia,"15,774","1,978",148,123,13
Polk, Georgia,"35,212","5,724",465,399,103
Pulaski, Georgia,"7,888","3,839",75,133,8
Putnam, Georgia,"15,324","5,771",151,150,53
Quitman, Georgia,"1,236","1,210",11,5,0
Rabun, Georgia,"15,824",318,214,180,18
Randolph, Georgia,"2,899","4,659",21,37,6
Richmond, Georgia,"85,186","113,529","2,168","4,976",797
Rockdale, Georgia,"42,254","41,969",926,"1,996",194
Schley, Georgia,"3,848","1,146",20,55,1
Screven, Georgia,"8,125","6,229",116,85,11
Seminole, Georgia,"5,835","2,943",46,57,2
Spalding, Georgia,"41,845","21,876",625,736,105
Stephens, Georgia,"22,618","3,170",216,246,36
Stewart, Georgia,"2,884","3,085",67,93,2
Sumter, Georgia,"14,646","16,945",292,495,74
Talbot, Georgia,"2,756","3,991",50,21,2
Taliaferro, Georgia,670,"1,044",11,17,0
Tattnall, Georgia,"17,504","7,643",239,151,44
Taylor, Georgia,"5,180","3,268",28,70,3
Telfair, Georgia,"10,176","6,030",114,145,21
Terrell, Georgia,"3,542","5,626",78,44,18
Thomas, Georgia,"27,482","16,738",436,431,48
Tift, Georgia,"27,619","13,216",306,672,57
Toombs, Georgia,"19,864","7,126",279,267,42
Towns, Georgia,"10,328",90,59,65,8
Treutlen, Georgia,"4,565","2,261",28,25,2
Troup, Georgia,"43,167","23,621",462,"1,328",143
