County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Drew, Arkansas,"13,250","5,359",115,133,11
Faulkner, Arkansas,"99,924","12,621","1,683","1,798",286
Franklin, Arkansas,"17,607",229,346,197,30
Fulton, Arkansas,"12,059",111,185,52,7
Garland, Arkansas,"86,932","8,576","1,618","1,041",133
Grant, Arkansas,"17,332",473,191,78,15
Greene, Arkansas,"41,571",447,508,170,27
Hempstead, Arkansas,"15,578","6,875",304,148,53
Hot Spring, Arkansas,"29,148","3,888",451,178,42
Howard, Arkansas,"10,709","2,957",189,113,28
Independence, Arkansas,"35,406",929,500,361,94
Izard, Arkansas,"13,343",228,214,58,7
Jackson, Arkansas,"14,820","3,151",218,89,27
Jefferson, Arkansas,"33,604","43,192",617,757,69
Johnson, Arkansas,"24,572",558,534,227,42
Lafayette, Arkansas,"4,720","2,882",61,29,0
Lawrence, Arkansas,"17,253",196,181,55,11
Lee, Arkansas,"4,530","5,808",106,59,6
Lincoln, Arkansas,"9,781","4,246",124,55,12
Little River, Arkansas,"10,329","2,658",334,66,6
Logan, Arkansas,"21,364",433,463,408,17
Lonoke, Arkansas,"63,489","4,499",873,856,110
Madison, Arkansas,"15,302",99,376,115,17
Marion, Arkansas,"16,428",86,304,69,14
Miller, Arkansas,"32,153","11,110",611,282,48
Mississippi, Arkansas,"30,004","16,190",386,323,33
Monroe, Arkansas,"4,716","3,363",86,51,2
Montgomery, Arkansas,"9,286",90,231,76,7
Nevada, Arkansas,"6,142","2,816",75,36,4
Newton, Arkansas,"8,184",47,230,44,5
Ouachita, Arkansas,"15,402","10,712",236,138,24
Perry, Arkansas,"10,139",246,165,41,7
Phillips, Arkansas,"7,834","13,807",137,88,8
Pike, Arkansas,"10,749",401,199,94,4
Poinsett, Arkansas,"22,600","1,949",186,87,18
Polk, Arkansas,"20,102",128,736,129,13
Pope, Arkansas,"58,929","2,164","1,317",835,85
Prairie, Arkansas,"7,601","1,091",71,15,4
Pulaski, Arkansas,"236,874","139,101","4,965","9,387",669
Randolph, Arkansas,"17,663",195,235,58,13
St. Francis, Arkansas,"13,096","14,873",327,188,37
Saline, Arkansas,"100,720","5,658","1,355","1,187",78
Scott, Arkansas,"10,564",118,388,432,10
Searcy, Arkansas,"8,058",45,226,26,7
Sebastian, Arkansas,"108,971","9,660","4,997","5,969",370
Sevier, Arkansas,"15,691",884,802,107,19
Sharp, Arkansas,"16,940",165,370,75,7
Stone, Arkansas,"12,257",59,221,63,8
Union, Arkansas,"27,377","13,949",458,283,23
Van Buren, Arkansas,"17,016",150,359,84,6
Washington, Arkansas,"185,386","7,780","5,681","5,776","4,615"
White, Arkansas,"73,177","3,734","1,119",628,79
Woodruff, Arkansas,"5,204","2,057",55,28,6
Yell, Arkansas,"21,261",473,312,357,21
Alameda, California,"862,692","222,945","38,137","450,483","24,600"
Alpine, California,902,11,258,15,2
Amador, California,"35,406","1,259","1,458",757,173
Butte, California,"200,438","5,921","9,520","12,124","1,319"
Calaveras, California,"43,412",678,"1,683","1,009",185
Colusa, California,"20,125",381,774,433,163
Contra Costa, California,"769,680","117,526","22,851","186,982","11,174"
Del Norte, California,"23,909","1,290","3,273","1,258",102
El Dorado, California,"169,872","2,496","4,994","9,120",871
Fresno, California,"747,574","63,231","39,297","106,286","4,442"
Glenn, California,"26,071",474,"1,293",930,90
Humboldt, California,"121,125","3,025","12,176","4,977",918
Imperial, California,"159,003","7,243","6,002","5,026",584
Inyo, California,"15,804",273,"2,573",362,61
Kern, California,"721,226","61,083","33,690","47,874","3,821"
Kings, California,"128,808","13,574","6,274","8,492",896
Lake, California,"59,603","1,957","4,149","1,397",404
Lassen, California,"29,657","3,348","2,033",675,278
Los Angeles, California,"7,289,368","1,002,962","226,983","1,536,999","62,939"
Madera, California,"133,734","7,317","8,891","4,284",622
Marin, California,"226,823","9,490","5,227","19,362","1,299"
Mariposa, California,"17,241",314,952,336,66
Mendocino, California,"79,581","1,462","7,336","2,248",417
Merced, California,"217,196","13,396","9,042","23,080","1,714"
Modoc, California,"8,993",193,658,118,42
Mono, California,"13,584",170,475,304,38
Monterey, California,"356,622","18,940","16,911","36,479","4,308"
Napa, California,"121,331","3,889","3,260","11,529",945
Nevada, California,"95,543",913,"2,749","2,076",347
Orange, California,"2,353,528","75,955","54,270","610,928","21,541"
Placer, California,"318,051","7,718","7,779","28,177","2,091"
Plumas, California,"18,899",351,"1,021",269,55
Riverside, California,"1,849,614","177,932","62,991","171,664","16,094"
Sacramento, California,"1,001,995","187,544","45,962","249,887","25,481"
San Benito, California,"51,000","1,015","2,591","2,429",355
San Bernardino, California,"1,646,773","221,814","65,876","163,704","15,332"
San Diego, California,"2,504,570","208,668","70,645","423,383","33,525"
San Francisco, California,"466,758","59,988","14,790","292,246","6,825"
San Joaquin, California,"500,458","66,365","25,022","124,241","8,630"
San Luis Obispo, California,"249,635","7,781","7,050","13,193","1,216"
San Mateo, California,"491,512","28,618","12,018","204,160","15,929"
Santa Barbara, California,"379,849","13,227","14,946","29,319","2,322"
Santa Clara, California,"1,107,925","65,571","40,855","631,110","16,245"
Santa Cruz, California,"241,629","5,639","8,295","17,115","1,402"
Shasta, California,"164,868","3,081","9,628","6,392",796
Sierra, California,"3,146",31,78,25,9
Siskiyou, California,"41,509","1,024","3,390",992,273
Solano, California,"273,464","73,964","11,753","77,584","8,358"
Sonoma, California,"442,725","13,052","17,964","26,656","3,575"
Stanislaus, California,"453,461","21,699","17,247","36,926","7,053"
Sutter, California,"75,151","3,160","3,752","16,143",740
Tehama, California,"60,056",885,"3,466","1,186",229
Trinity, California,"12,810",187,"1,170",188,51
Tulare, California,"402,416","11,935","17,379","20,952","1,918"
Tuolumne, California,"51,890","1,514","2,289","1,033",200
Ventura, California,"729,272","23,754","23,724","72,204","4,735"
Yolo, California,"162,488","7,721","6,542","32,250","2,207"
Yuba, California,"61,508","3,934","4,330","6,557",704
Adams, Colorado,"400,024","19,081","15,128","20,488","1,606"
Alamosa, Colorado,"14,545",390,"1,038",316,60
Arapahoe, Colorado,"473,257","71,128","12,583","37,242","2,605"
Archuleta, Colorado,"11,550",104,476,162,15
Baca, Colorado,"3,696",41,94,19,3
Bent, Colorado,"5,731",529,251,78,7
Boulder, Colorado,"277,795","4,451","4,714","16,106",595
Broomfield, Colorado,"51,399",927,875,"4,152",118
Chaffee, Colorado,"17,152",332,341,164,29
Cheyenne, Colorado,"1,800",10,19,18,2
Clear Creek, Colorado,"8,897",92,151,88,15
Conejos, Colorado,"7,898",88,361,62,22
Costilla, Colorado,"3,242",69,225,49,12
Crowley, Colorado,"5,043",585,220,74,2
Custer, Colorado,"4,184",61,76,23,5
Delta, Colorado,"30,083",296,726,260,46
Denver, Colorado,"501,435","72,469","20,368","27,077","1,743"
Dolores, Colorado,"1,993",20,79,10,5
Douglas, Colorado,"270,214","5,342","3,076","14,413",673
Eagle, Colorado,"50,404",585,881,734,82
Elbert, Colorado,"22,526",286,344,285,50
El Paso, Colorado,"554,177","53,151","16,951","28,585","4,830"
Fremont, Colorado,"43,810","1,985","1,329",412,62
Garfield, Colorado,"53,943",764,"1,623",601,137
Gilpin, Colorado,"5,294",55,95,95,18
Grand, Colorado,"14,477",123,216,183,23
Gunnison, Colorado,"14,819",143,488,165,13
Hinsdale, Colorado,826,11,15,9,0
Huerfano, Colorado,"6,241",75,438,48,20
Jackson, Colorado,"1,359",8,32,2,0
Jefferson, Colorado,"507,109","9,155","11,399","18,789","1,267"
Kiowa, Colorado,"1,382",10,16,4,2
Kit Carson, Colorado,"7,887",257,125,54,18
Lake, Colorado,"7,026",77,238,55,10
La Plata, Colorado,"47,479",476,"4,148",551,101
Larimer, Colorado,"287,929","4,374","5,754","8,668",679
Las Animas, Colorado,"14,509",316,720,168,30
Lincoln, Colorado,"5,067",305,101,62,6
Logan, Colorado,"21,353","1,029",432,209,43
Mesa, Colorado,"141,594","1,894","3,779","1,977",410
Mineral, Colorado,697,3,7,3,1
Moffat, Colorado,"13,487",106,287,118,27
Montezuma, Colorado,"22,103",166,"3,538",206,45
Montrose, Colorado,"39,860",351,"1,202",454,77
Morgan, Colorado,"26,611",995,582,249,103
Otero, Colorado,"17,909",260,930,233,51
Ouray, Colorado,"4,397",24,51,38,8
Park, Colorado,"15,878",144,373,193,24
Phillips, Colorado,"4,370",33,50,32,9
Pitkin, Colorado,"16,713",173,166,286,32
Prowers, Colorado,"12,253",120,269,64,13
Pueblo, Colorado,"149,098","4,625","7,093","2,177",436
Rio Blanco, Colorado,"6,463",94,146,58,23
Rio Grande, Colorado,"11,571",101,469,80,13
Routt, Colorado,"22,972",194,274,252,43
Saguache, Colorado,"5,859",63,251,73,9
San Juan, Colorado,698,7,7,11,0
San Miguel, Colorado,"7,148",69,150,90,12
Sedgwick, Colorado,"2,324",15,26,28,2
Summit, Colorado,"27,289",359,332,396,54
Teller, Colorado,"22,869",235,528,289,46
Washington, Colorado,"4,741",48,28,33,8
Weld, Colorado,"242,877","4,173","6,822","4,693",585
Yuma, Colorado,"9,875",43,102,49,19
Fairfield, Connecticut,"760,147","116,139","8,252","49,896","2,153"
Hartford, Connecticut,"717,287","142,524","9,308","44,680","1,743"
Litchfield, Connecticut,"183,033","4,138","1,416","3,721",225
Middlesex, Connecticut,"152,482","9,585","1,063","5,280",244
New Haven, Connecticut,"706,645","129,583","8,858","35,927","1,407"
New London, Connecticut,"240,228","22,389","6,189","14,394",820
Tolland, Connecticut,"141,779","6,418","1,040","6,413",294
Windham, Connecticut,"112,809","4,396","1,706","1,946",204
Kent, Delaware,"117,286","43,548","2,633","4,643",420
New Castle, Delaware,"379,383","138,636","5,250","27,020",611
Sussex, Delaware,"166,681","28,321","3,892","2,698",424
District of Columbia, District of Columbia,"264,589","319,873","8,116","27,746","1,568"
Alachua, Florida,"181,556","53,694","2,205","15,898",465
Baker, Florida,"23,137","3,840",258,194,26
Bay, Florida,"145,448","20,474","2,886","5,141",441
Bradford, Florida,"22,299","6,119",249,237,37
Brevard, Florida,"471,544","62,487","5,978","16,197","1,429"
Broward, Florida,"1,194,465","503,933","12,718","72,769","5,260"
Calhoun, Florida,"12,321","2,151",336,121,29
Charlotte, Florida,"147,882","10,305","1,248","2,561",228
Citrus, Florida,"134,376","4,908","1,370","2,481",159
Clay, Florida,"164,332","21,794","2,319","7,780",562
Collier, Florida,"294,478","23,579","2,547","4,915",774
Columbia, Florida,"54,508","12,535",801,818,108
De Soto, Florida,"29,642","4,805",471,268,82
Dixie, Florida,"14,868","1,483",174,77,17
Duval, Florida,"561,950","270,080","9,078","45,284","2,323"
Escambia, Florida,"216,449","72,797","5,648","11,623","1,075"
Flagler, Florida,"82,088","12,174",806,"2,598",208
Franklin, Florida,"9,824","1,701",119,50,20
Gadsden, Florida,"20,378","27,100",406,343,96
Gilchrist, Florida,"15,900",995,179,91,21
Glades, Florida,"10,557","1,690",713,83,11
Gulf, Florida,"12,738","3,071",177,72,17
Hamilton, Florida,"9,402","5,164",191,115,10
Hardee, Florida,"24,666","2,107",419,376,39
Hendry, Florida,"32,270","5,650","1,019",407,80
Hernando, Florida,"160,798","10,580","1,577","2,561",285
Highlands, Florida,"86,813","10,332","1,061","1,793",174
Hillsborough, Florida,"965,371","229,831","13,029","53,181","3,104"
Holmes, Florida,"18,401","1,284",379,129,39
Indian River, Florida,"123,027","13,551","1,110","2,131",182
Jackson, Florida,"35,613","13,674",629,346,137
Jefferson, Florida,"9,279","5,425",112,84,13
Lafayette, Florida,"7,360","1,438",79,27,5
Lake, Florida,"258,957","32,647","3,660","7,047",688
Lee, Florida,"553,036","58,203","5,497","11,427","1,283"
Leon, Florida,"181,338","87,498","2,380","10,095",463
Levy, Florida,"36,301","4,161",499,333,59
Liberty, Florida,"6,697","1,572",135,35,15
Madison, Florida,"11,599","7,594",181,75,18
Manatee, Florida,"286,210","31,935","2,970","6,699",543
Marion, Florida,"282,584","44,518","3,507","5,783",526
Martin, Florida,"134,871","8,871","2,074","2,079",335
Miami-Dade, Florida,"1,964,631","503,968","12,190","49,662","4,541"
Monroe, Florida,"67,617","4,676",775,"1,085",143
Nassau, Florida,"67,626","5,135",704,943,117
Okaloosa, Florida,"155,729","19,834","2,778","8,532",805
Okeechobee, Florida,"35,809","3,526",630,458,73
Orange, Florida,"826,228","265,052","12,300","69,171","4,296"
Osceola, Florida,"224,078","38,147","3,763","9,737","1,093"
Palm Beach, Florida,"1,042,126","246,852","13,309","39,395","3,210"
Pasco, Florida,"430,375","25,713","4,565","12,841",778
Pinellas, Florida,"785,679","104,940","8,199","33,533","1,862"
Polk, Florida,"495,950","98,029","6,893","12,719","1,231"
Putnam, Florida,"61,040","12,686",914,611,101
St. Johns, Florida,"175,334","12,014","1,430","5,281",310
St. Lucie, Florida,"216,834","57,915","3,017","5,980",642
Santa Rosa, Florida,"139,195","10,345","2,850","4,536",462
Sarasota, Florida,"354,665","20,854","2,782","6,482",443
Seminole, Florida,"354,608","54,082","4,153","19,719",892
Sumter, Florida,"83,965","9,467",788,809,122
Suwannee, Florida,"36,556","5,386",583,321,56
Taylor, Florida,"17,515","4,825",364,201,24
Union, Florida,"11,942","3,597",117,67,14
Volusia, Florida,"430,263","57,768","5,026","10,176",700
Wakulla, Florida,"25,912","4,749",419,264,47
Walton, Florida,"50,846","3,569","1,189",789,139
Washington, Florida,"20,514","3,938",553,208,45
Appling, Georgia,"14,575","3,601",113,159,35
Atkinson, Georgia,"6,639","1,551",155,62,83
Bacon, Georgia,"9,238","1,831",65,62,15
Baker, Georgia,"1,775","1,642",16,34,2
Baldwin, Georgia,"25,840","19,193",249,777,47
Banks, Georgia,"17,664",517,191,212,27
Barrow, Georgia,"58,666","8,862",746,"2,708",85
Bartow, Georgia,"88,127","11,310","1,267","1,037",143
Ben Hill, Georgia,"11,256","6,249",159,156,13
Berrien, Georgia,"17,078","2,210",122,122,12
Bibb, Georgia,"70,245","82,894","1,006","3,181",315
Bleckley, Georgia,"9,376","3,605",40,130,7
Brantley, Georgia,"17,790",647,197,65,6
Brooks, Georgia,"10,309","5,823",121,83,24
Bryan, Georgia,"25,291","4,787",305,691,59
Bulloch, Georgia,"49,337","20,351",585,"1,320",117
Burke, Georgia,"11,586","11,763",139,119,34
Butts, Georgia,"16,993","6,689",160,156,15
Calhoun, Georgia,"2,485","4,178",43,39,20
Camden, Georgia,"39,503","10,652",671,"1,144",157
Candler, Georgia,"8,218","2,761",38,73,17
Carroll, Georgia,"88,644","21,822","1,055","1,258",147
Catoosa, Georgia,"61,381","1,884",626,"1,008",72
Charlton, Georgia,"8,774","3,987",129,101,7
Chatham, Georgia,"149,608","110,674","2,298","8,209",591
Chattahoochee, Georgia,"8,429","2,365",210,425,119
Chattooga, Georgia,"22,746","3,140",203,164,83
Cherokee, Georgia,"197,049","14,463","2,289","4,878",374
Clarke, Georgia,"79,903","32,550",951,"5,872",253
Clay, Georgia,"1,223","1,934",14,13,1
Clayton, Georgia,"68,135","178,787","3,481","14,292",645
Clinch, Georgia,"4,807","1,955",81,25,5
Cobb, Georgia,"474,196","186,110","7,604","36,514","1,079"
Coffee, Georgia,"30,592","11,908",276,383,39
Colquitt, Georgia,"34,148","10,712",758,420,76
Columbia, Georgia,"99,993","20,444","1,209","6,227",366
Cook, Georgia,"12,323","4,811",97,162,12
Coweta, Georgia,"102,514","23,617","1,286","2,751",227
Crawford, Georgia,"9,643","2,910",112,65,12
Crisp, Georgia,"13,042","10,259",94,214,17
Dade, Georgia,"16,230",233,161,170,18
Dawson, Georgia,"21,926",269,221,186,18
Decatur, Georgia,"15,887","11,673",294,193,33
De Kalb, Georgia,"267,236","388,633","9,442","40,755","1,208"
Dodge, Georgia,"15,027","6,671",127,125,31
Dooly, Georgia,"7,281","7,468",65,109,12
Dougherty, Georgia,"29,346","64,509",595,987,242
Douglas, Georgia,"76,084","55,094","1,371","2,574",328
Early, Georgia,"5,434","5,476",71,47,2
Echols, Georgia,"3,709",222,136,19,7
Effingham, Georgia,"44,544","7,572",530,623,58
Elbert, Georgia,"13,906","6,102",98,152,12
Emanuel, Georgia,"14,701","7,750",150,189,12
Evans, Georgia,"7,503","3,363",82,121,36
Fannin, Georgia,"23,423",169,227,111,14
Fayette, Georgia,"79,944","22,901","1,049","5,007",213
Floyd, Georgia,"80,056","14,741","1,259","1,588",300
Forsyth, Georgia,"159,324","5,723","1,558","12,415",222
Franklin, Georgia,"19,959","2,069",165,186,18
Fulton, Georgia,"451,428","423,910","8,668","59,728","1,196"
Gilmer, Georgia,"27,725",253,331,122,157
Glascock, Georgia,"2,794",277,21,7,2
Glynn, Georgia,"57,097","21,726",770,"1,260",218
Gordon, Georgia,"51,926","2,554",564,677,244
Grady, Georgia,"17,270","7,412",427,182,75
Greene, Georgia,"9,707","6,204",120,79,26
Gwinnett, Georgia,"510,157","209,760","12,773","94,173","1,728"
Habersham, Georgia,"39,979","1,765",690,"1,133",136
Hall, Georgia,"160,354","15,123","2,724","3,954",462
Hancock, Georgia,"2,319","7,019",61,59,4
Haralson, Georgia,"27,170","1,552",238,196,14
Harris, Georgia,"26,115","5,768",287,408,37
Hart, Georgia,"20,177","4,930",129,251,15
Heard, Georgia,"10,547","1,285",114,78,12
Henry, Georgia,"119,881","80,266","1,998","7,521",401
Houston, Georgia,"95,089","42,646","1,600","4,839",446
Irwin, Georgia,"7,000","2,555",34,80,4
Jackson, Georgia,"55,228","4,645",501,"1,246",69
Jasper, Georgia,"10,709","3,185",137,63,7
Jeff Davis, Georgia,"12,652","2,357",121,95,12
Jefferson, Georgia,"7,557","9,273",58,97,17
Jenkins, Georgia,"4,803","3,473",58,52,22
Johnson, Georgia,"6,429","3,526",51,35,5
Jones, Georgia,"21,326","7,204",162,244,21
Lamar, Georgia,"12,440","5,839",142,127,12
Lanier, Georgia,"7,479","2,523",141,167,17
Laurens, Georgia,"30,295","17,725",279,575,30
Lee, Georgia,"22,264","5,552",189,755,38
Liberty, Georgia,"33,138","28,771","1,052","2,062",601
Lincoln, Georgia,"5,348","2,607",60,40,5
Long, Georgia,"10,497","4,076",260,254,92
Lowndes, Georgia,"67,197","40,953","1,177","2,395",323
Lumpkin, Georgia,"29,493",571,448,256,62
McDuffie, Georgia,"12,907","8,905",144,120,29
McIntosh, Georgia,"9,013","5,237",128,74,16
Macon, Georgia,"5,458","8,965",103,224,27
Madison, Georgia,"25,458","2,625",198,236,16
Marion, Georgia,"5,665","2,952",114,110,36
Meriwether, Georgia,"13,042","8,731",154,159,10
Miller, Georgia,"4,380","1,758",39,38,4
Mitchell, Georgia,"11,953","11,401",178,171,16
Monroe, Georgia,"19,862","6,415",179,263,16
Montgomery, Georgia,"6,612","2,502",33,35,3
Morgan, Georgia,"13,461","4,309",191,136,13
Murray, Georgia,"38,582",558,547,207,112
Muscogee, Georgia,"95,990","91,222","2,292","5,831",836
Newton, Georgia,"56,945","42,719",857,"1,323",166
Oconee, Georgia,"30,056","1,922",178,"1,209",41
Oglethorpe, Georgia,"12,148","2,791",112,98,25
Paulding, Georgia,"115,534","26,604","1,436","2,048",247
Peach, Georgia,"14,560","13,032",268,312,51
Pickens, Georgia,"28,838",471,295,155,27
Pierce, Georgia,"16,878","1,789",223,106,32
Pike, Georgia,"15,910","1,977",155,113,19
Polk, Georgia,"35,487","5,716",456,373,107
Pulaski, Georgia,"7,896","3,899",72,128,13
Putnam, Georgia,"15,332","5,714",154,142,61
Quitman, Georgia,"1,291","1,209",9,6,0
Rabun, Georgia,"15,848",277,209,159,15
Randolph, Georgia,"2,902","4,760",16,33,4
Richmond, Georgia,"85,527","113,020","2,181","4,915",791
Rockdale, Georgia,"42,616","41,416",884,"1,956",202
Schley, Georgia,"3,797","1,189",20,49,2
Screven, Georgia,"8,111","6,362",104,85,5
Seminole, Georgia,"5,748","2,978",38,48,4
Spalding, Georgia,"41,841","21,782",615,770,98
Stephens, Georgia,"22,968","3,179",211,244,36
Stewart, Georgia,"2,835","3,207",66,86,6
Sumter, Georgia,"15,032","17,171",276,493,77
Talbot, Georgia,"2,751","4,074",46,21,2
Taliaferro, Georgia,685,"1,020",8,21,1
Tattnall, Georgia,"17,628","7,713",227,139,43
Taylor, Georgia,"5,289","3,444",38,66,3
Telfair, Georgia,"10,229","6,168",107,133,23
Terrell, Georgia,"3,547","5,744",69,45,18
Thomas, Georgia,"27,577","16,791",429,410,46
Tift, Georgia,"27,582","12,146",290,624,42
Toombs, Georgia,"19,959","7,086",281,258,34
Towns, Georgia,"10,399",70,47,62,5
Treutlen, Georgia,"4,600","2,287",29,24,1
Troup, Georgia,"43,028","23,179",464,"1,250",136
